name,folder,labels
10A40438-09AA-4A21-83B4-8119F03F7A11-1430925142-1.0-f-26-dc.wav,fold3,dc
11417AC2-DCC9-48CD-8177-CA8665E51B2F-1436881512-1.1-m-48-dc.wav,fold3,dc
1309B82C-F146-46F0-A723-45345AFA6EA8-1430703937-1.0-f-48-dc.wav,fold3,dc
1309B82C-F146-46F0-A723-45345AFA6EA8-1430704008-1.0-f-48-dc.wav,fold3,dc
1309B82C-F146-46F0-A723-45345AFA6EA8-1432801693-1.1-f-26-dc.wav,fold3,dc
1309B82C-F146-46F0-A723-45345AFA6EA8-1432801703-1.1-f-26-dc.wav,fold3,dc
2294E2B2-8E36-4DA6-A898-B947CB9446AB-1436462707-1.1-m-26-dc.wav,fold3,dc
64acb345-a61e-4ef3-a5a6-cf83c04b83f1-1430058990597-1.7-m-72-dc.wav,fold3,dc
64acb345-a61e-4ef3-a5a6-cf83c04b83f1-1430059012473-1.7-m-72-dc.wav,fold3,dc
665BDF6D-2897-49F9-8AD0-978B3B2A0468-1430530218-1.0-m-26-dc.wav,fold3,dc
79FF400A-97E2-4701-987D-C7C850D5523C-1430089621-1.0-f-48-dc.wav,fold3,dc
79FF400A-97E2-4701-987D-C7C850D5523C-1430089688-1.0-f-48-dc.wav,fold3,dc
7b0e160e-0505-459e-8ecb-304d7afae9d2-1437486974312-1.7-m-04-dc.wav,fold3,dc
837fd072-8704-4196-9ff1-1d2c07886e55-1432429478471-1.7-m-22-dc.wav,fold3,dc
999bf14b-e417-4b44-b746-9253f81efe38-1430844958178-1.7-m-04-ch.wav,fold3,ch
999bf14b-e417-4b44-b746-9253f81efe38-1430844979531-1.7-m-04-ch.wav,fold3,ch
999bf14b-e417-4b44-b746-9253f81efe38-1430844994519-1.7-m-04-ch.wav,fold3,ch
999bf14b-e417-4b44-b746-9253f81efe38-1430845018393-1.7-m-26-ch.wav,fold3,ch
999bf14b-e417-4b44-b746-9253f81efe38-1430845035663-1.7-m-26-ch.wav,fold3,ch
a40b9b8d-e4bc-457a-badf-f38bdbc0c358-1430016981469-1.7-m-26-dc.wav,fold3,dc
ae5a462b-5424-4b5b-82d5-07ccb61654ab-1431064345173-1.7-f-48-dc.wav,fold3,dc
D1CB71F9-EF76-49B3-A703-41D557444D21-1436863419-1.1-f-26-dc.wav,fold3,dc
d6cda191-4962-4308-9a36-46d5648a95ed-1426942891562-1.4-f-48-dc.wav,fold3,dc
d6cda191-4962-4308-9a36-46d5648a95ed-1431086262776-1.7-m-04-ch.wav,fold3,ch
d6cda191-4962-4308-9a36-46d5648a95ed-1431161889263-1.7-m-04-dc.wav,fold3,dc
f258a8e2-92cd-4843-9da4-80ed26ec8e10-1436944996156-1.7-f-26-ch.wav,fold3,ch
f5b29377-7cd6-4688-942c-5a07add39dc5-1437480263225-1.7-f-26-dc.wav,fold3,dc
